region,island,lon,lat,year,month,day,date,date_r,distance.from.port.v20201104.tiff,distance.from.shore.tif,gpw_v4_population_density_rev11_15_min.nc,gpw_v4_population_density_rev11_1_deg.nc,gpw_v4_population_density_rev11_2pt5_min.nc,gpw_v4_population_density_rev11_30_min.nc,hi_otp_all_coastal_mod.tif,hi_otp_all_fishing.tif,hi_otp_all_fishing_com.tif,hi_otp_all_fishing_com_line.tif,hi_otp_all_fishing_com_net.tif,hi_otp_all_fishing_com_spear.tif,hi_otp_all_fishing_rec.tif,hi_otp_all_fishing_rec_boat.tif,hi_otp_all_fishing_rec_boat_spear.tif,hi_otp_all_fishing_rec_shore.tif,hi_otp_all_fishing_rec_shore_line.tif,hi_otp_all_fishing_rec_shore_net.tif,hi_otp_all_fishing_rec_shore_spear.tif,hi_otp_all_invasive_algae.tif,hi_otp_all_invasive_fish.tif,hi_otp_all_nearshore_dev.tif,hi_otp_all_nearshore_sediment.tif,hi_otp_all_osds_effluent.tif,hi_otp_all_osds_nitrogen.tif,hi_otp_all_osds_phosphorus.tif,MHI_Boat_Spear_hr.tif,MHI_Shore_Spear_hr.tif
MHI,Hawaii,-155.777357,20.246613,2019,7,15,2019-7-15,2019-07-15,23.92719268798828,0,14.822127342224121,19.05618667602539,42.68772506713867,16.876392364501953,0,6.963267803192139,0.01192034687846899,0.010167503729462624,NA,0.0017528432654216886,6.951347351074219,0.053830139338970184,0.033213790506124496,6.897517204284668,18.201976776123047,3.0096967220306396,6.897517204284668,0,1,0.012549725361168385,21.184471130371094,141.4710693359375,32.396873474121094,8.841941833496094,0.033503565937280655,3.509341239929199
MHI,Hawaii,-155.87149311,19.94641087,2013,8,8,2013-8-8,2013-08-08,10.845311164855957,0,12.614938735961914,12.04177474975586,14.390177726745605,13.703070640563965,0,10.603426933288574,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,10.536833763122559,0.24280256032943726,0.14983032643795013,10.294031143188477,25.482877095540363,3.0096967220306396,7.284334182739258,0,1,0.02966245822608471,0.7637759782373905,1358.122314453125,311.0099792480469,84.868499755859375,0.15046079456806183,6.441583633422852
MHI,Hawaii,-155.82560202,20.01060066,2010,10,12,2010-10-12,2010-10-12,3.335847854614258,0,14.822127342224121,19.05618667602539,7.91379976272583,16.876392364501953,0,39.84278869628906,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,39.77619552612305,0.2259577363729477,0.13940364122390747,39.55023956298828,29.123327255249023,3.0096967220306396,7.417215347290039,0,1,0.040467824786901474,88.80069732666016,4145.1025390625,797.8826904296875,225.00973510742188,0.14002792537212372,6.558935165405273
MHI,Hawaii,-155.8969777,19.91123286,2013,8,8,2013-8-8,2013-08-08,16.20098304748535,0,12.614938735961914,12.04177474975586,2.11738920211792,13.703070640563965,0,39.828285217285156,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,39.76169204711914,0.25052958726882935,0.15462574362754822,39.51116180419922,29.123327255249023,3.0096967220306396,7.378139019012451,0,1,0.004930669907480478,NA,84.88264465332031,19.43812370300293,5.3051652908325195,0.1553141176700592,9.144726753234863
MHI,Hawaii,-155.889523,19.916767,2016,8,14,2016-8-14,2016-08-14,14.743158340454102,0,12.614938735961914,12.04177474975586,53.13466262817383,13.703070640563965,0,39.84486770629883,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,39.77827453613281,0.24690361320972443,0.15238139033317566,39.53158187866211,29.123327255249023,3.0096967220306396,7.398558139801025,0,1,0.006172284949570894,NA,84.88264465332031,19.43812370300293,5.3051652908325195,0.1528571993112564,9.170462608337402
MHI,Hawaii,-155.956579,19.511386,2019,7,19,2019-7-19,2019-07-19,13.986042976379395,0,43.40108871459961,12.04177474975586,94.50884246826172,13.703070640563965,0,40.21287536621094,0.17750871181488037,0.10236610472202301,NA,0.07514259964227676,40.03536605834961,0.5115050077438354,0.31602415442466736,39.523860931396484,29.123327255249023,3.0096967220306396,7.390835285186768,0,1,0.13022932410240173,NA,778.09088134765625,86.53785705566406,27.728330612182617,0.3173799216747284,11.52100133895874
MHI,Hawaii,-155.83395283,19.97723591,2013,8,8,2013-8-8,2013-08-08,6.671695709228516,0,12.614938735961914,12.04177474975586,42.13969039916992,13.703070640563965,1,39.760398864746094,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,39.69380569458008,0.23141445219516754,0.14278078079223633,39.4623908996582,29.123327255249023,3.0096967220306396,7.329367160797119,1,1,0.07098415493965149,144.64210510253906,11742.0986328125,1314.124755859375,404.0130920410156,0.1435229629278183,6.473055839538574
MHI,Hawaii,-155.860167,19.95739,2016,8,14,2016-8-14,2016-08-14,9.431741714477539,0,12.614938735961914,12.04177474975586,14.390177726745605,13.703070640563965,0,39.82160186767578,0.0665927305817604,0.06240943819284439,NA,0.004183294251561165,39.755008697509766,0.2394636571407318,0.14776156842708588,39.51554489135742,29.123327255249023,3.0096967220306396,7.382519245147705,0,1,0.18686522543430328,0.7637759782373905,10341.53515625,1522.624755859375,440.1730651855469,0.14845359325408936,6.508198261260986
MHI,Hawaii,-155.79555265,19.00717646,2010,10,11,2010-10-11,2010-10-11,72.06436920166016,0,9.009204864501953,12.04177474975586,0.0398397259414196,4.933410167694092,0,13.900128364562988,0.0650845319032669,0.05893661826848984,1.9894400611519814e-4,0.005948971025645733,13.835043907165527,0.034364473074674606,0.021186431869864464,13.800542831420898,7.2806267738342285,1.8811569213867188,4.638759136199951,0,1,0.1075357049703598,3.907880454789847e-5,0,0,0,0.021409770473837852,0.6268185079097748
MHI,Hawaii,-155.01567632,19.7366633,2013,8,5,2013-8-5,2013-08-05,3.3309903144836426,0,67.83396911621094,12.04177474975586,76.66778564453125,21.71297264099121,0,40.19169616699219,0.12617693841457367,0.0598161481320858,0.027503913268446922,0.0388568751513958,40.06551742553711,0.6552581787109375,0.4037211239337921,39.4104118347168,29.123327255249023,3.0096967220306396,7.277389049530029,0,1,0.14448827505111694,7.865268853493035e-4,1952.30078125,370.9371337890625,103.99537658691406,0.4057501256465912,22.21746063232422
